ds,yhat,yhat_lower,yhat_upper,RegionName
1999-02-28,116982.07907946776,114849.89349032793,119072.40945834115,Arizona
1999-03-31,117675.9703642627,115549.77952915683,119732.9126254277,Arizona
1999-04-30,118308.34969413822,116166.83339051752,120444.38982054016,Arizona
1999-05-31,119034.62776005895,116951.40790580296,121125.45575614124,Arizona
1999-06-30,119596.2604985622,117506.12790569791,121597.29586902651,Arizona
1999-07-31,119842.97855103936,117659.4217257715,121868.4169073397,Arizona
1999-08-31,120354.45568177715,118287.74181859873,122442.13747888953,Arizona
1999-09-30,120990.01182230846,119076.35394402729,123144.08146125257,Arizona
1999-10-31,121519.4587145742,119394.76118824998,123460.61396060935,Arizona
1999-11-30,121991.79956317824,119878.80058473334,124007.74162029686,Arizona
1999-12-31,122520.31322938579,120543.20497824534,124632.3295590025,Arizona
2000-01-31,123219.86404839827,121164.98015652644,125154.8551334883,Arizona
2000-02-29,124046.77487833354,122037.6721411728,126286.5014304946,Arizona
2000-03-31,124526.55268256676,122369.27279936806,126519.72840256574,Arizona
2000-04-30,125097.18885045365,123083.62192891138,127158.72819954263,Arizona
2000-05-31,125546.7062646081,123528.13117078453,127798.50988291534,Arizona
2000-06-30,126209.25654399031,124228.27937866168,128248.48824769858,Arizona
2000-07-31,127018.91526244015,125078.04866339474,129117.13036317557,Arizona
2000-08-31,127298.9077769198,125285.09588176075,129340.6279408562,Arizona
2000-09-30,127713.25374980421,125642.02830229056,129678.06431308879,Arizona
2000-10-31,128246.08427963153,126191.01864985305,130079.07411828222,Arizona
2000-11-30,128788.6156043843,126858.79855610413,130827.75832782021,Arizona
2000-12-31,129246.02750530421,127275.81845105246,131248.48363919588,Arizona
2001-01-31,129932.07679725341,127909.66977749011,132108.19487210579,Arizona
2001-02-28,130747.73925598891,128582.56818083262,132830.04488114885,Arizona
2001-03-31,131297.65247273745,129308.8911655741,133328.07343123597,Arizona
2001-04-30,131889.3545585998,129866.91843646858,133967.44615138616,Arizona
2001-05-31,132433.67819085086,130376.19044544228,134590.16598101828,Arizona
2001-06-30,133067.5484100049,130915.81964630209,134977.18460975008,Arizona
2001-07-31,133689.1088854706,131684.53995433348,135705.05098063275,Arizona
2001-08-31,134043.4034077034,131867.10539147008,136144.3769353042,Arizona
2001-09-30,134532.525157099,132400.61959898353,136581.51425550296,Arizona
2001-10-31,135065.5443874165,133147.70332861607,137193.78978559232,Arizona
2001-11-30,135585.02914580193,133515.61168418152,137632.35649663335,Arizona
2001-12-31,136066.35420573616,133988.8057150063,138180.0921642778,Arizona
2002-01-31,136758.43768347608,134628.73648071673,138773.22576974158,Arizona
2002-02-28,137448.2610888586,135465.20572850067,139502.39246994222,Arizona
